Company,0–30 Days,31–60 Days,61–90 Days,90+ Days,Total Owed
Harlestons,38945.53,22608.00,26890.50,3881.75,92325.78
Palmetto Outfitters,498.00,2595.75,3184.75,0.00,6278.50
IMM Promotionals,5112.00,956.25,0.00,0.00,6068.25
Uniforms By John,2123.75,3102.27,512.00,0.00,5738.02
Edisto Pavilion,3780.00,0.00,0.00,0.00,3780.00
"Charleston Graphics, LLC",360.00,1868.00,0.00,0.00,2228.00
Data Imaging,2009.50,0.00,0.00,0.00,2009.50
MMG - Marine Marketing Group,705.00,285.00,604.00,0.00,1594.00
AIM Capital Solutions - PrivateI,204.00,0.00,0.00,952.00,1156.00
Key Thrasher Inc,909.00,204.00,0.00,5.00,1118.00
"BBT Screen Printers, Inc",1018.75,0.00,0.00,0.00,1018.75
ECAP - EAST COAST,429.25,117.00,114.00,295.00,955.25
VKC Systems,0.00,0.00,0.00,921.11,921.11
Carolina Ice Palace Pro Shop,291.00,230.75,0.00,0.00,521.75
BDVIbez,0.00,380.00,72.00,0.00,452.00
LOWLAX,0.00,270.00,75.00,0.00,345.00
ELITE PRO DETAILING,0.00,0.00,0.00,284.50,284.50
JDF Solutions,0.00,276.25,0.00,0.00,276.25
Keys to Embroidery,0.00,0.00,0.00,263.76,263.76
Isle of Palms Police Department,0.00,0.00,0.00,260.00,260.00
Planet Charleston,242.00,0.00,0.00,0.00,242.00
Ferguson,0.00,200.00,0.00,0.00,200.00
West Ashley High School - WAHS,0.00,0.00,0.00,192.00,192.00
Carolina Promotions - HALO,0.00,118.00,60.00,0.00,178.00
APP - American Promotional Products,0.00,162.00,0.00,0.00,162.00
Planet Cotton,0.00,156.00,0.00,0.00,156.00
Rusty - Personal,0.00,0.00,144.00,0.00,144.00
QUARTERDECK,0.00,120.00,0.00,0.00,120.00
PREMIER HEALTH & WELLNESS,0.00,0.00,0.00,117.00,117.00
Digital Graphics,0.00,100.00,0.00,0.00,100.00
AIA Corporation,100.00,0.00,0.00,0.00,100.00
"J.P. Murray & Company, Inc.",72.00,15.00,5.00,0.00,92.00
Bear the Palm,0.00,80.00,0.00,0.00,80.00
HENRY'S ON THE MARKET,75.00,0.00,0.00,0.00,75.00
Kuszmaul Design,60.00,0.00,0.00,0.00,60.00
Gilligan's Steamer & Raw Bar,0.00,0.00,0.00,52.00,52.00
Price Concepts,48.00,0.00,0.00,0.00,48.00
Stagecoach,42.00,0.00,0.00,0.00,42.00
Otto Apparel Company,0.00,0.00,0.00,0.00,0.00
Smoak's,0.00,0.00,0.00,0.00,0.00
12pt Creative,0.00,0.00,0.00,0.00,0.00
TOTAL,57024.78,33844.27,31661.25,7224.12,129754.42
