Company,0–30 Days,31–60 Days,61–90 Days,90+ Days,Total Owed
Harlestons,36549.78,29123.25,20375.25,3881.75,89930.03
IMM Promotionals,5112.00,956.25,0.00,0.00,6068.25
Palmetto Outfitters,120.00,2655.75,3124.75,0.00,5900.50
Uniforms By John,1421.75,3012.27,512.00,0.00,4946.02
Edisto Pavilion,3780.00,0.00,0.00,0.00,3780.00
Data Imaging,1862.50,0.00,0.00,1855.25,3717.75
"Charleston Graphics, LLC",492.00,1736.00,0.00,0.00,2228.00
Key Thrasher Inc,1784.75,289.00,0.00,5.00,2078.75
MMG - Marine Marketing Group,705.00,285.00,724.00,0.00,1714.00
Celebrity Style,0.00,0.00,0.00,1386.00,1386.00
AIM Capital Solutions - PrivateI,120.00,0.00,0.00,952.00,1072.00
"BBT Screen Printers, Inc",1018.75,0.00,0.00,0.00,1018.75
ECAP - EAST COAST,429.25,117.00,409.00,0.00,955.25
VKC Systems,0.00,0.00,0.00,921.11,921.11
Carolina Ice Palace Pro Shop,291.00,230.75,0.00,0.00,521.75
APP - American Promotional Products,325.00,162.00,0.00,0.00,487.00
BDVIbez,0.00,380.00,72.00,0.00,452.00
LOWLAX,0.00,270.00,75.00,0.00,345.00
ELITE PRO DETAILING,0.00,0.00,0.00,284.50,284.50
No Company - William Pellman,0.00,0.00,0.00,283.75,283.75
JDF Solutions,0.00,276.25,0.00,0.00,276.25
Keys to Embroidery,0.00,0.00,0.00,263.76,263.76
Rivers Enterprises,0.00,0.00,0.00,261.60,261.60
Isle of Palms Police Department,0.00,0.00,0.00,260.00,260.00
S & W Specialties,0.00,0.00,0.00,251.25,251.25
Planet Charleston,242.00,0.00,0.00,0.00,242.00
Ferguson,0.00,200.00,0.00,0.00,200.00
West Ashley High School - WAHS,0.00,0.00,0.00,192.00,192.00
Rusty - Personal,0.00,0.00,144.00,37.50,181.50
Carolina Promotions - HALO,0.00,118.00,60.00,0.00,178.00
Planet Cotton,156.00,0.00,0.00,0.00,156.00
QUARTERDECK,0.00,120.00,0.00,0.00,120.00
PREMIER HEALTH & WELLNESS,0.00,0.00,0.00,117.00,117.00
Digital Graphics,0.00,100.00,0.00,0.00,100.00
AIA Corporation,100.00,0.00,0.00,0.00,100.00
"J.P. Murray & Company, Inc.",72.00,15.00,5.00,0.00,92.00
Bear the Palm,0.00,80.00,0.00,0.00,80.00
HENRY'S ON THE MARKET,75.00,0.00,0.00,0.00,75.00
Kuszmaul Design,60.00,0.00,0.00,0.00,60.00
Gilligan's Steamer & Raw Bar,0.00,0.00,0.00,52.00,52.00
Price Concepts,48.00,0.00,0.00,0.00,48.00
Stagecoach,42.00,0.00,0.00,0.00,42.00
Charleston Water Taxi,0.00,0.00,0.00,15.00,15.00
Otto Apparel Company,0.00,0.00,0.00,0.00,0.00
Smoak's,0.00,0.00,0.00,0.00,0.00
12pt Creative,0.00,0.00,0.00,0.00,0.00
TOTAL,54806.78,40126.52,25501.00,11019.47,131453.77
