Company,0–30 Days,31–60 Days,61–90 Days,90+ Days,Total Owed
Harlestons,35085.78,27692.75,8845.50,1740.75,73364.78
IMM Promotionals,6296.75,5952.25,0.00,0.00,12249.00
Palmetto Outfitters,990.00,1662.25,4094.25,144.00,6890.50
Uniforms By John,1753.50,2295.55,2398.97,0.00,6448.02
Edisto Pavilion,0.00,3780.00,0.00,0.00,3780.00
Key Thrasher Inc,1540.75,944.00,0.00,5.00,2489.75
AIM Capital Solutions - PrivateI,983.00,593.75,0.00,820.00,2396.75
MMG - Marine Marketing Group,1034.00,312.00,0.00,0.00,1346.00
Data Imaging,1257.00,0.00,0.00,0.00,1257.00
"Charleston Graphics, LLC",144.00,592.00,0.00,0.00,736.00
ECAP - EAST COAST,90.00,429.25,114.00,0.00,633.25
Bear the Palm,520.00,0.00,80.00,0.00,600.00
"J.P. Murray & Company, Inc.",345.50,247.00,5.00,0.00,597.50
Stagecoach,588.00,0.00,0.00,0.00,588.00
APP - American Promotional Products,420.00,32.00,130.00,0.00,582.00
Ink Spots,540.00,0.00,0.00,0.00,540.00
Carolina Ice Palace Pro Shop,0.00,291.00,230.75,0.00,521.75
Carolina Promotions - HALO,511.25,0.00,0.00,0.00,511.25
BDVIbez,0.00,380.00,72.00,0.00,452.00
ELITE PRO DETAILING,0.00,0.00,0.00,284.50,284.50
JDF Solutions,0.00,276.25,0.00,0.00,276.25
Keys to Embroidery,0.00,0.00,0.00,263.76,263.76
Bruza Construction,256.75,0.00,0.00,0.00,256.75
Planet Charleston,0.00,242.00,0.00,0.00,242.00
Ferguson,0.00,200.00,0.00,0.00,200.00
West Ashley High School - WAHS,0.00,0.00,0.00,192.00,192.00
"Charleston Elite Construction, LLC",178.50,0.00,0.00,0.00,178.50
Gilligan's Steamer & Raw Bar,90.00,0.00,0.00,52.00,142.00
William Smith Fireplaces,136.25,0.00,0.00,0.00,136.25
HENRY'S ON THE MARKET,45.00,75.00,0.00,0.00,120.00
AIA Corporation,120.00,0.00,0.00,0.00,120.00
Moonlight Tees,120.00,0.00,0.00,0.00,120.00
PREMIER HEALTH & WELLNESS,0.00,0.00,0.00,117.00,117.00
Frampton Construction,105.00,0.00,0.00,0.00,105.00
Digital Graphics,0.00,100.00,0.00,0.00,100.00
Kuszmaul Design,0.00,60.00,0.00,0.00,60.00
Otto Apparel Company,0.00,0.00,0.00,0.00,0.00
Smoak's,0.00,0.00,0.00,0.00,0.00
12pt Creative,0.00,0.00,0.00,0.00,0.00
TOTAL,53151.03,46157.05,15970.47,3619.01,118897.56
